	seqid	db	taxid	lineage
UniRef100_A0A563VN45	A0A563VN45	uniprot	945734	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pleurocapsales;Hyellaceae;Hyella;Hyella patelloides
UniRef100_A0A6B3P8B4	A0A6B3P8B4	uniprot	2607813	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Okeania;unclassified Okeania
UniRef100_A0A6P1AC36	A0A6P1AC36	uniprot	2607808	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Kamptonema;unclassified Kamptonema
UniRef100_A0A6P2AA88	A0A6P2AA88	uniprot	2480214	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Chroococcaceae;Gloeocapsa;unclassified Gloeocapsa
UniRef100_A0A844GW67	A0A844GW67	uniprot	2676140	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Geminocystaceae;Cyanobacterium;Cyanobacterium aponinum
UniRef100_A0A846GGD6	A0A846GGD6	uniprot	2607784	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Okeania;unclassified Okeania
UniRef100_A3ILN0	A3ILN0	uniprot	391612	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Crocosphaera;Crocosphaera chwakensis
UniRef100_B1WT30	B1WT30	uniprot	43989	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Crocosphaera;Crocosphaera subtropica
UniRef100_B7K1G8	B7K1G8	uniprot	41431	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Rippkaea;Rippkaea orientalis
UniRef100_K9Y7W9	K9Y7W9	uniprot	65093	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece;unclassified Halothece
UniRef100_U7QJ82	U7QJ82	uniprot	1348334	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Lyngbya;Lyngbya aestuarii
UniRef100_A0A0P4UNN7	A0A0P4UNN7	uniprot	1552121	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;unclassified Leptolyngbya
UniRef100_A0A0S3U8J3	A0A0S3U8J3	uniprot	1752064	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;unclassified Leptolyngbya
UniRef100_A0A2D2Q2L3	A0A2D2Q2L3	uniprot	1917166	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Thermostichales;Thermostichaceae;Thermostichus;Thermostichus lividus
UniRef100_A0A2H2Y8W7	A0A2H2Y8W7	uniprot	2005469	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix
