	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_A0A7G1IS67	A0A7G1IS67	uniprot	1768.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kansasii	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii	Actinomycetota
UniRef100_A0A329KV27	A0A329KV27	uniprot	339268.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium complex (MAC)	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium colombiense	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium colombiense	Actinomycetota
UniRef100_X8AEA9	X8AEA9	uniprot	1767.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium complex (MAC)	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium intracellulare	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare	Actinomycetota
UniRef100_A0A829C9P9	A0A829C9P9	uniprot	1305739.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis complex;Mycobacterium orygis	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium orygis	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium orygis	Actinomycetota
UniRef100_A0A7X7Y6U5	A0A7X7Y6U5	uniprot	1903720.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;unclassified Bacilli	k__Bacteria;p__Bacillota;c__Bacilli;o__;f__;g__;s__Bacilli bacterium	Bacteria	Bacillota	Bacilli	NA	NA	NA	Bacilli bacterium	Bacillota
UniRef100_A0A0B5DSA5	A0A0B5DSA5	uniprot	40318.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces nodosus	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces nodosus	Actinomycetota
UniRef100_A0A524EXF6	A0A524EXF6	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A7K4HH17	A0A7K4HH17	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A1Q7W4W1	A0A1Q7W4W1	uniprot	1803477.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;unclassified Actinobacteria	k__Bacteria;p__Actinomycetota;c__;o__;f__;g__;s__Actinobacteria bacterium 13_1_20CM_3_71_11	Bacteria	Actinomycetota	NA	NA	NA	NA	Actinobacteria bacterium 13_1_20CM_3_71_11	Actinomycetota
UniRef100_H1QEX5	H1QEX5	uniprot	1120227.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces coelicoflavus	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces coelicoflavus	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces coelicoflavus	Actinomycetota
UniRef100_A0A7U8UFE0	A0A7U8UFE0	uniprot	515617.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis complex;Mycobacterium tuberculosis	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	Actinomycetota
UniRef100_X8CK65	X8CK65	uniprot	1299334.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium xenopi	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium xenopi	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium xenopi	Actinomycetota
UniRef100_A0A5C9DVX9	A0A5C9DVX9	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A524CKH0	A0A524CKH0	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A523REV4	A0A523REV4	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A524DEP6	A0A524DEP6	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A524F9M4	A0A524F9M4	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A524FUB6	A0A524FUB6	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A5C9EMS8	A0A5C9EMS8	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A7K4GMU3	A0A7K4GMU3	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A7K4GYY9	A0A7K4GYY9	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A0F9L317	A0A0F9L317	uniprot	412755.0	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes	k__;p__;c__;o__;f__;g__;s__marine sediment metagenome	NA	NA	NA	NA	NA	NA	marine sediment metagenome	NA
UniRef100_A0A1C0VLK1	A0A1C0VLK1	uniprot	1880902.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Pseudanabaenaceae;Limnothrix;unclassified Limnothrix	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Limnothrix;s__Limnothrix sp. P13C2	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Pseudanabaenaceae	Limnothrix	Limnothrix sp. P13C2	Cyanobacteria
UniRef100_A0A388L3T1	A0A388L3T1	uniprot	69332.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Charophyceae;Charales;Characeae;Chara	k__Eukaryota;p__Streptophyta;c__Charophyceae;o__Charales;f__Characeae;g__Chara;s__Chara braunii	Eukaryota	Streptophyta	Charophyceae	Charales	Characeae	Chara	Chara braunii	Other
UniRef100_A0A2P5X970	A0A2P5X970	uniprot	3634.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Malvales;Malvaceae;Malvoideae;Gossypium	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Gossypium;s__Gossypium barbadense	Eukaryota	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium barbadense	Other
UniRef100_A0A7V7DSN5	A0A7V7DSN5	uniprot	2026735.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Deltaproteobacteria bacterium	Proteobacteria
UniRef100_A0A3M1LH89	A0A3M1LH89	uniprot	2026795.0	cellular organisms;Archaea;TACK group;Thaumarchaeota;unclassified Thaumarchaeota	k__Archaea;p__Thaumarchaeota;c__;o__;f__;g__;s__Thaumarchaeota archaeon	Archaea	Thaumarchaeota	NA	NA	NA	NA	Thaumarchaeota archaeon	Other
UniRef100_A0A2D7SMZ8	A0A2D7SMZ8	uniprot	2026774.0	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;unclassified Parcubacteria group	k__Bacteria;p__;c__;o__;f__;g__;s__Parcubacteria group bacterium	Bacteria	NA	NA	NA	NA	NA	Parcubacteria group bacterium	NA
UniRef100_A0A438JJH7	A0A438JJH7	uniprot	29760.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;rosids incertae sedis;Vitales;Vitaceae;Viteae;Vitis	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae;g__Vitis;s__Vitis vinifera	Eukaryota	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera	Other
UniRef100_A0A120IZ88	A0A120IZ88	uniprot	33894.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis complex;Mycobacterium tuberculosis	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	Actinomycetota
UniRef100_A0A7U8U335	A0A7U8U335	uniprot	537210.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis complex;Mycobacterium tuberculosis	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	Actinomycetota
UniRef100_A0A803LQK6	A0A803LQK6	uniprot	63459.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Caryophyllales;Chenopodiaceae;Chenopodioideae;Atripliceae;Chenopodium	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Chenopodiaceae;g__Chenopodium;s__Chenopodium quinoa	Eukaryota	Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Chenopodium	Chenopodium quinoa	Other
UniRef100_A0A0K9PF10	A0A0K9PF10	uniprot	29655.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Alismatales;Zosteraceae;Zostera	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Alismatales;f__Zosteraceae;g__Zostera;s__Zostera marina	Eukaryota	Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina	Other
UniRef100_A0A1J6IJ10	A0A1J6IJ10	uniprot	49451.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Solanaceae;Nicotianoideae;Nicotianeae;Nicotiana	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Nicotiana;s__Nicotiana attenuata	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Nicotiana	Nicotiana attenuata	Other
UniRef100_B8HLY0	B8HLY0	uniprot	395961.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece	k__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Cyanothecaceae;g__Cyanothece;s__Cyanothece sp. PCC 7425	Bacteria	Cyanobacteria	NA	Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7425	Cyanobacteria
UniRef100_A0A7T5CH13	A0A7T5CH13	uniprot	2026780.0	cellular organisms;Bacteria;PVC group;Planctomycetota	k__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__Planctomycetota bacterium	Bacteria	Planctomycetota	NA	NA	NA	NA	Planctomycetota bacterium	Planctomycetota
UniRef100_A0A444EWG7	A0A444EWG7	uniprot	4639.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Zingiberales;Musaceae;Ensete	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Musaceae;g__Ensete;s__Ensete ventricosum	Eukaryota	Streptophyta	Magnoliopsida	Zingiberales	Musaceae	Ensete	Ensete ventricosum	Other
UniRef100_A0A650AVJ4	A0A650AVJ4	uniprot	439688.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Saxifragales;Crassulaceae;Sedum	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Saxifragales;f__Crassulaceae;g__Sedum;s__Sedum alfredii	Eukaryota	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae	Sedum	Sedum alfredii	Other
UniRef100_A0A2I4H8J0	A0A2I4H8J0	uniprot	51240.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fagales;Juglandaceae;Juglans	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Juglandaceae;g__Juglans;s__Juglans regia	Eukaryota	Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	Juglans regia	Other
UniRef100_A0A6A4L8G9	A0A6A4L8G9	uniprot	262921.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;Ericales;Ericaceae;Ericoideae;Rhodoreae;Rhododendron	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ericaceae;g__Rhododendron;s__Rhododendron williamsianum	Eukaryota	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	Rhododendron williamsianum	Other
UniRef100_A0A6J1EI97	A0A6J1EI97	uniprot	3662.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Cucurbitales;Cucurbitaceae;Cucurbiteae;Cucurbita	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita;s__Cucurbita moschata	Eukaryota	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita moschata	Other
UniRef100_E0UDR6	E0UDR6	uniprot	497965.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece verrucosa	Cyanobacteria
UniRef100_A0A4P9ZAN5	A0A4P9ZAN5	uniprot	27322.0	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;CUG-Ser1 clade;Metschnikowiaceae;Metschnikowia	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;s__Metschnikowia bicuspidata	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia bicuspidata	Other
UniRef100_A0A4S2ULV4	A0A4S2ULV4	uniprot	2563107.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. LRa12	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. LRa12	Actinomycetota
UniRef100_A0A366C183	A0A366C183	uniprot	2259645.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;unclassified Rhodovulum	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum sp. BSW8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sp. BSW8	Proteobacteria
UniRef100_A0A024G339	A0A024G339	uniprot	65357.0	cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Albuginales;Albuginaceae;Albugo	k__Eukaryota;p__Oomycota;c__;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo candida	Eukaryota	Oomycota	NA	Albuginales	Albuginaceae	Albugo	Albugo candida	Other
UniRef100_M4B3J3	M4B3J3	uniprot	559515.0	cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporales;Peronosporaceae;Hyaloperonospora;Hyaloperonospora arabidopsidis	k__Eukaryota;p__Oomycota;c__;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora arabidopsidis	Eukaryota	Oomycota	NA	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora arabidopsidis	Other
UniRef100_A0A662Y5Y4	A0A662Y5Y4	uniprot	2483409.0	cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporales;Peronosporaceae;Nothophytophthora;unclassified Nothophytophthora	k__Eukaryota;p__Oomycota;c__;o__Peronosporales;f__Peronosporaceae;g__Nothophytophthora;s__Nothophytophthora sp. Chile5	Eukaryota	Oomycota	NA	Peronosporales	Peronosporaceae	Nothophytophthora	Nothophytophthora sp. Chile5	Other
UniRef100_F0WI82	F0WI82	uniprot	890382.0	cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Albuginales;Albuginaceae;Albugo;Albugo laibachii	k__Eukaryota;p__Oomycota;c__;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo laibachii	Eukaryota	Oomycota	NA	Albuginales	Albuginaceae	Albugo	Albugo laibachii	Other
UniRef100_A0A6A3LWC3	A0A6A3LWC3	uniprot	129364.0	cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporales;Peronosporaceae;Phytophthora	k__Eukaryota;p__Oomycota;c__;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora rubi	Eukaryota	Oomycota	NA	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora rubi	Other
UniRef100_A0A1C5L4W9	A0A1C5L4W9	uniprot	165188.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;environmental samples	k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__uncultured Megasphaera sp.	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	uncultured Megasphaera sp.	Bacillota
UniRef100_A0A1I0SSG2	A0A1I0SSG2	uniprot	376733.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus halophilus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus halophilus	Proteobacteria
UniRef100_A0A2T5HJZ5	A0A2T5HJZ5	uniprot	1651082.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Celeribacter	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Celeribacter;s__Celeribacter persicus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter persicus	Proteobacteria
UniRef100_A0A829P6B0	A0A829P6B0	uniprot	1415159.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter capsulatus	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter capsulatus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus	Proteobacteria
